subject,enroll_emotion_id,test_emotion_id,enroll_emotion,test_emotion,n_enroll,n_test,within_sim,cross_sim,drift_index
5,2,1,Sad,Fear,1167,550,0.9488987922668457,0.8412364721298218,0.11346030235290527
5,2,2,Sad,Sad,1167,676,0.9488987922668457,0.8107523918151855,0.1455860137939453
5,2,3,Sad,Neutral,1167,525,0.9488987922668457,0.8866719007492065,0.06557798385620117
5,2,4,Sad,Happy,1167,489,0.9488987922668457,0.7918428778648376,0.16551387310028076
5,3,0,Neutral,Disgust,920,428,0.9498445391654968,0.8130015134811401,0.14406883716583252
5,3,1,Neutral,Fear,920,550,0.9498445391654968,0.8406823873519897,0.11492633819580078
5,3,2,Neutral,Sad,920,676,0.9498445391654968,0.8088340759277344,0.14845633506774902
5,3,3,Neutral,Neutral,920,525,0.9498445391654968,0.8864271640777588,0.06676608324050903
5,3,4,Neutral,Happy,920,489,0.9498445391654968,0.789364755153656,0.16895371675491333
5,4,0,Happy,Disgust,728,428,0.948089063167572,0.8146193027496338,0.14077764749526978
5,4,1,Happy,Fear,728,550,0.948089063167572,0.8407976627349854,0.1131659746170044
5,4,2,Happy,Sad,728,676,0.948089063167572,0.8097924590110779,0.14586877822875977
5,4,3,Happy,Neutral,728,525,0.948089063167572,0.8860173225402832,0.06547039747238159
5,4,4,Happy,Happy,728,489,0.948089063167572,0.7903531789779663,0.1663724184036255
6,0,0,Disgust,Disgust,743,428,0.96424400806427,0.043524667620658875,0.9548613429069519
6,0,1,Disgust,Fear,743,550,0.96424400806427,0.028479527682065964,0.9704644083976746
6,0,2,Disgust,Sad,743,676,0.96424400806427,0.03504672646522522,0.9636536836624146
6,0,3,Disgust,Neutral,743,525,0.96424400806427,0.03876102715730667,0.9598016142845154
6,0,4,Disgust,Happy,743,489,0.96424400806427,0.03391168266534805,0.9648308157920837
6,1,0,Fear,Disgust,920,428,0.9661794304847717,0.044976606965065,0.953449010848999
6,1,1,Fear,Fear,920,550,0.9661794304847717,0.030048470944166183,0.9688997268676758
6,1,2,Fear,Sad,920,676,0.9661794304847717,0.0365854948759079,0.9621338248252869
6,1,3,Fear,Neutral,920,525,0.9661794304847717,0.0402238592505455,0.9583681225776672
6,1,4,Fear,Happy,920,489,0.9661794304847717,0.03542717546224594,0.9633327126502991
6,2,0,Sad,Disgust,1206,428,0.9639855623245239,0.04666781425476074,0.9515886902809143
6,2,1,Sad,Fear,1206,550,0.9639855623245239,0.03125441074371338,0.9675779342651367
6,2,2,Sad,Sad,1206,676,0.9639855623245239,0.03799908608198166,0.9605812430381775
6,2,3,Sad,Neutral,1206,525,0.9639855623245239,0.041579462587833405,0.9568671584129333
6,2,4,Sad,Happy,1206,489,0.9639855623245239,0.03678401559591293,0.9618417620658875
6,3,0,Neutral,Disgust,911,428,0.9653506875038147,0.045274101197719574,0.953100860118866
6,3,1,Neutral,Fear,911,550,0.9653506875038147,0.02921358123421669,0.9697378277778625
6,3,2,Neutral,Sad,911,676,0.9653506875038147,0.03652123361825943,0.9621679186820984
6,3,3,Neutral,Neutral,911,525,0.9653506875038147,0.03974069654941559,0.958832859992981
6,3,4,Neutral,Happy,911,489,0.9653506875038147,0.03470463678240776,0.9640496969223022
6,4,0,Happy,Disgust,686,428,0.9657731652259827,0.04368661344051361,0.9547651410102844
6,4,1,Happy,Fear,686,550,0.9657731652259827,0.028035607188940048,0.9709708094596863
6,4,2,Happy,Sad,686,676,0.9657731652259827,0.034955188632011414,0.9638060331344604
6,4,3,Happy,Neutral,686,525,0.9657731652259827,0.03844301775097847,0.9601945877075195
