subject,session_changed,emotion_changed,EER
11,1,1,0.21776315789473683
12,1,1,0.04176706827309236
13,1,1,0.423121387283237
14,1,1,0.21267893660531698
15,1,1,0.34942528735632183
16,1,1,0.16164658634538154
1,1,1,0.23949771689497715
2,1,1,0.35511111111111116
3,1,1,0.27116564417177913
4,1,1,0.13512304250559287
5,1,1,0.10496453900709221
6,1,1,0.3302277432712215
7,1,1,0.6759381898454746
8,1,1,0.23863134657836643
9,1,1,0.12320987654320986
10,1,1,0.36729559748427676
11,1,1,0.2761261261261261
12,1,1,0.09204301075268817
13,1,1,0.31708860759493673
14,1,1,0.1832167832167832
15,1,1,0.1732394366197183
16,1,1,0.29047619047619044
1,0,1,0.22546296296296298
